EXP,Gold,Drop Rate,Item,UK1,UK2,Name
0,0,0,lod_core:broad_sword,0,0,Will-o'-Wisp (No name)
10,6,10,lod_core:healing_potion,0,0,Magma Fish
10,6,10,lod_core:healing_potion,0,0,Magma Fish
0,0,0,lod_core:broad_sword,0,0,Magma Fish (No name)
17,9,8,lod_core:sun_rhapsody,0,0,Salamander (No name)
17,9,8,lod_core:sun_rhapsody,0,0,Salamander (No name)
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,N/A
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,lod_core:broad_sword,0,0,Crash
0,0,0,Nothing,0,0,Merchant
0,0,0,Nothing,0,0,Master Tasman
0,0,0,Nothing,0,0,Rose
20,20,100,lod_core:burn_out,0,0,Commander
2,3,100,lod_core:healing_potion,0,0,Knight of Sandora
200,50,100,lod_core:healing_breeze,0,0,Sandora Elite
0,0,100,lod_core:healing_potion,0,0,Hellena Warden
0,0,100,lod_core:healing_potion,0,0,Auto Complete
300,50,100,lod_core:knight_shield,0,0,Fruegel
2000,200,100,lod_core:gravity_grabber,0,0,Fruegel
0,0,0,Nothing,0,0,Rodriguez
0,0,0,Nothing,0,0,Guftas
300,50,100,lod_core:power_wrist,0,0,Kongol
2000,200,30,lod_core:wargod_calling,0,0,Kongol
3000,200,0,Nothing,0,0,Emperor Doel
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Lloyd
12000,300,0,Nothing,0,0,Lloyd
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,8,lod_core:pellet,0,0,Crafty Thief
0,0,100,lod_core:down_burst,0,0,Feyrbrand
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
7000,250,100,lod_core:frozen_jet,0,0,Regole
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
10000,300,20,lod_core:dragon_shield,0,0,Divine Dragon
0,0,100,lod_core:gravity_grabber,0,0,Divine Cannon
0,0,100,lod_core:flash_hall,0,0,Divine Ball
0,0,0,Nothing,0,0,Crash
1200,100,30,lod_core:plate_mail,0,0,Greham
0,0,100,lod_core:silver_stone,0,0,Shirley
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
6000,200,0,Nothing,0,0,Lenus
0,0,50,lod_core:jeweled_crown,0,0,Lenus
6000,300,100,lod_core:blue_sea_stone,0,0,Damia
6000,300,100,lod_core:jade_stone,0,0,Syuveil
6000,300,100,lod_core:golden_stone,0,0,Belzac
6000,300,100,lod_core:violet_stone,0,0,Kanzas
2000,150,100,lod_core:total_vanishing,0,0,Mappi
0,0,25,lod_core:diamond_claw,0,0,Mappi
5000,200,25,lod_core:soul_headband,0,0,Gehrich
0,0,0,Nothing,0,0,Gorgaga
0,0,0,Nothing,0,0,Serfius
0,0,0,Nothing,0,0,Danton
0,0,0,Nothing,0,0,Atlow
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Crash
600,100,100,lod_core:healing_potion,0,0,Virage(head)
0,0,100,lod_core:healing_potion,0,0,Virage(body)
0,0,100,lod_core:mind_purifier,0,0,Virage(arm)
4500,200,100,lod_core:moon_serenade,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
4000,200,100,lod_core:healing_rain,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,Crash
15000,300,0,Nothing,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
1500,100,30,lod_core:bandit's_ring,0,0,Drake the Bandit
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Freeze
2000,100,100,lod_core:sachet,0,0,Jiango
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,???
400,50,100,lod_core:wargod's_amulet,0,0,Urobolus
800,100,100,lod_core:red-eye_stone,0,0,Fire Bird
0,0,0,Nothing,0,0,Auto Complete
9000,300,100,lod_core:spectral_flash,0,0,Grand Jewel
0,0,0,Nothing,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Kamuy's tree
6000,200,100,lod_core:night_raid,0,0,Ghost Commander
0,0,0,Nothing,0,0,Ghost Knight
0,0,0,Nothing,0,0,Mazo
8000,0,100,lod_core:darkness_stone,0,0,Kamuy
20000,10000,100,lod_core:phantom_shield,0,0,Faust
0,0,0,Nothing,0,0,Faust
11000,250,100,lod_core:brass_knuckle,0,0,Windigo
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Heart
6000,200,0,Nothing,0,0,Polter Helm
0,0,100,lod_core:smoke_ball,0,0,Polter Armor
0,0,100,lod_core:soul_eater,0,0,Polter Sword
8000,400,100,lod_core:flash_hall,0,0,Auto Complete
6000,300,100,lod_core:frozen_jet,0,0,Auto Complete
4000,200,100,lod_core:down_burst,0,0,Auto Complete
0,0,0,Nothing,0,0,Missing (Melbu Texture)
0,0,0,Nothing,0,0,Missing (Tentacle Texture)
0,0,0,Nothing,0,0,Lloyd & Melbu (Crash)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
12000,300,0,Nothing,0,0,Vector
0,0,0,Nothing,0,0,Selebus
0,0,0,Nothing,0,0,Kubila
0,0,100,lod_core:healing_rain,0,0,Auto Complete
12000,300,50,lod_core:halberd,0,0,Lavitzs Spirit
12000,300,100,lod_core:pretty_hammer,0,0,Last Kraken
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
13000,300,100,lod_core:healing_rain,0,0,Caterpillar
0,0,100,lod_core:moon_serenade,0,0,Auto Complete
0,0,100,lod_core:sun_rhapsody,0,0,Auto Complete
6000,0,0,Nothing,0,0,Death Rose
0,0,0,Nothing,0,0,Auto Complete
6000,0,0,Nothing,0,0,Claire
0,0,0,Nothing,0,0,Auto Complete
6000,0,100,lod_core:indora's_axe,0,0,Indora
0,0,0,Nothing,0,0,Shadow Blade
0,0,0,Nothing,0,0,Light Sword
12000,0,0,Nothing,0,0,Michael
0,0,0,Nothing,0,0,Michael (arm)
0,0,0,Nothing,0,0,Michael (core)
6000,0,0,Nothing,0,0,Dark Doel
6000,0,0,Nothing,0,0,Archangel
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Missing Shana
20000,400,0,Nothing,0,0,Zieg Feld
0,0,0,Nothing,0,0,Melbu Frahma (1st)
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Melbu Frahma (2nd)
0,0,0,Nothing,0,0,Melbu Frahma (3rd)
0,0,0,Nothing,0,0,Melbu Frahma (Bomb Star)
0,0,0,Nothing,0,0,Melbu Frahma (4th)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Bomb Star (Melbu Frahma 1st)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
