EXP,Gold,Drop Rate,Item,UK1,UK2,Name
2000,120,24,i53,0,0,Triceratops
165,54,24,i51,0,0,Stern Fish
88,30,8,i33,0,0,Forest Runner
10,6,10,i11,0,0,Magma Fish
150,39,8,i14,0,0,Scud Shark
63,24,8,i11,0,0,Screw Shell
144,24,8,i57,0,0,Potbelly
187,48,2,e7,0,0,Loner Knight
55,15,2,e60,0,0,Berserker
176,54,2,e120,0,0,Professor
638,84,24,i54,0,0,Psyche Druid
60,12,2,e133,0,0,Gangster
50,18,32,i5,0,0,Crafty Thief
153,39,8,i13,0,0,Undead
60,21,2,e0,0,0,Skeleton
48,12,0,Nothing,0,0,Will-o'-Wisp
300,0,100,i55,0,0,Cursed Jar
20,24,8,i30,0,0,Man Eating Bud
126,36,15,i33,0,0,Cactus
15,9,8,i37,0,0,Mandrake
77,33,8,i19,0,0,Mermaid
17,9,8,i37,0,0,Salamander
380,51,2,i41,0,0,Unicorn
10,6,40,i10,0,0,Orc
80,36,8,i12,0,0,Dark Elf
100,27,8,i13,0,0,Baby Dragon
192,48,8,i20,0,0,Harpy
162,51,2,e100,0,0,Cute Cat
32,24,2,e30,0,0,Arrow Shooter
14,6,8,i13,0,0,Red Hot
170,30,8,i26,0,0,Specter
30,30,32,i17,0,0,Sandora Elite
24,15,20,i11,0,0,Knight of Sandora
11,6,10,i14,0,0,Slime
16,9,8,i13,0,0,Fowl Fighter
36,12,8,i20,0,0,Killer Bird
14,6,8,i14,0,0,Plague Rat
38,12,8,i14,0,0,Stinger
40,21,2,i48,0,0,Piggy
56,15,32,i6,0,0,Sea Piranha
72,18,8,i14,0,0,Toad Stool
80,21,32,i17,0,0,Mega Sea Dragon
90,39,8,i14,0,0,Deadly Spider
121,21,8,i19,0,0,Icicle Ball
12,6,8,i13,0,0,Tricky Bat
108,30,2,e1,0,0,Mr.Bone
72,18,8,i39,0,0,Moss Dresser
144,24,8,i29,0,0,Death Purger
154,21,8,i25,0,0,Scorpion
304,42,24,i51,0,0,Trap Plant
135,30,8,i30,0,0,Aqua King
128,30,8,i14,0,0,Sky Chaser
456,33,24,i52,0,0,Air Combat
0,0,100,e142,0,0,Treasure Jar
136,24,8,i33,0,0,Human Hunter
198,42,10,i30,0,0,Mountain Ape
360,42,24,i55,0,0,Roulette Face
228,24,24,i50,0,0,Swift Dragon
20,15,2,e35,0,0,Hellena Warden
25,30,50,i11,0,0,Sandora Soldier
14,9,8,i11,0,0,Sandora Soldier
11,12,10,i37,0,0,Sandora Soldier
24,21,2,e20,0,0,Senior Warden
6,9,0,Nothing,0,0,Hellena Warden
17,9,100,i8,0,0,Commander
1000,0,0,Nothing,0,0,Blue Bird
0,1000,100,e88,0,0,Red Bird
0,300,10,e118,0,0,Yellow Bird
1000,300,100,i42,0,0,Lucky Jar
0,0,0,Nothing,0,0,??? (Terminator ?)
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,Madman
165,24,8,i14,0,0,Madman
165,24,8,i14,0,0,Madman
14,6,8,i13,0,0,Red Hot
14,6,8,i13,0,0,Red Hot
11,6,10,i14,0,0,Madman
11,6,10,i14,0,0,Madman
13,12,2,e119,0,0,Fire Spirit
13,12,2,e119,0,0,Fire Spirit
170,30,8,i26,0,0,Specter
170,30,8,i26,0,0,Specter
48,12,0,Nothing,0,0,Will-o'-Wisp
48,12,0,Nothing,0,0,Will-o'-Wisp
0,0,0,Nothing,0,0,Will-o'-Wisp (No name)
10,6,10,i11,0,0,Magma Fish
10,6,10,i11,0,0,Magma Fish
0,0,0,Nothing,0,0,Magma Fish (No name)
17,9,8,i37,0,0,Salamander (No name)
17,9,8,i37,0,0,Salamander (No name)
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,N/A
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Merchant
0,0,0,Nothing,0,0,Master Tasman
0,0,0,Nothing,0,0,Rose
84,40,100,i3,0,0,Commander
20,3,100,i11,0,0,Knight of Sandora
200,50,100,i57,0,0,Sandora Elite
0,0,100,i11,0,0,Hellena Warden
0,0,100,i11,0,0,Auto Complete
300,50,100,e112,0,0,Fruegel
2000,200,100,i53,0,0,Fruegel
0,0,0,Nothing,0,0,Rodriguez
0,0,0,Nothing,0,0,Guftas
300,50,100,e111,0,0,Kongol
2000,200,100,e156,0,0,Kongol
3000,200,0,Nothing,0,0,Emperor Doel
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Lloyd
12000,300,0,Nothing,0,0,Lloyd
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,100,i5,0,0,Crafty Thief
0,0,100,i52,0,0,Feyrbrand
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
7000,250,100,i51,0,0,Regole
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
10000,300,100,e150,0,0,Divine Dragon
0,0,100,i53,0,0,Divine Cannon
0,0,100,i56,0,0,Divine Ball
0,0,0,Nothing,0,0,Crash
1200,100,100,e49,0,0,Greham
0,0,100,e136,0,0,Shirley
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
6000,200,0,Nothing,0,0,Lenus
0,0,100,e85,0,0,Lenus
6000,300,100,e138,0,0,Damia
6000,300,100,e135,0,0,Syuveil
6000,300,100,e140,0,0,Belzac
6000,300,100,e139,0,0,Kanzas
2000,600,100,i29,0,0,Mappi
0,0,100,e42,0,0,Mappi
5000,200,100,e81,0,0,Gehrich
0,0,0,Nothing,0,0,Gorgaga
0,0,0,Nothing,0,0,Serfius
0,0,0,Nothing,0,0,Danton
0,0,0,Nothing,0,0,Atlow
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Crash
600,100,100,i11,0,0,Virage(head)
0,0,100,i11,0,0,Virage(body)
0,0,100,i13,0,0,Virage(arm)
4500,200,100,i42,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
4000,200,100,i41,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,Crash
15000,300,0,Nothing,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
1500,100,100,e133,0,0,Drake the Bandit
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Freeze
2000,100,100,i48,0,0,Jiango
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,???
400,50,100,e127,0,0,Urobolus
800,100,100,e134,0,0,Fire Bird
0,0,0,Nothing,0,0,Auto Complete
9000,300,100,i54,0,0,Grand Jewel
0,0,0,Nothing,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Kamuy's tree
6000,200,100,i55,0,0,Ghost Commander
0,0,0,Nothing,0,0,Ghost Knight
0,0,0,Nothing,0,0,Mazo
8000,0,100,e137,0,0,Kamuy
20000,10000,100,e149,0,0,Faust
0,0,0,Nothing,0,0,Faust
11000,250,100,e45,0,0,Windigo
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Heart
6000,200,0,Nothing,0,0,Polter Helm
0,0,100,i38,0,0,Polter Armor
0,0,100,e7,0,0,Polter Sword
8000,2000,100,i56,0,0,Auto Complete
6000,300,100,i51,0,0,Auto Complete
4000,200,100,i52,0,0,Auto Complete
0,0,0,Nothing,0,0,Missing (Melbu Texture)
0,0,0,Nothing,0,0,Missing (Tentacle Texture)
0,0,0,Nothing,0,0,Lloyd & Melbu (Crash)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
12000,300,0,Nothing,0,0,Vector
0,0,0,Nothing,0,0,Selebus
0,0,0,Nothing,0,0,Kubila
0,0,100,i41,0,0,Auto Complete
12000,300,100,e25,0,0,Lavitzs Spirit
12000,300,100,e39,0,0,Last Kraken
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
13000,300,100,i41,0,0,Caterpillar
0,0,100,i42,0,0,Auto Complete
0,0,100,i37,0,0,Auto Complete
6000,0,0,Nothing,0,0,Death Rose
0,0,0,Nothing,0,0,Auto Complete
6000,0,0,Nothing,0,0,Claire
0,0,0,Nothing,0,0,Auto Complete
6000,0,100,e12,0,0,Indora
0,0,0,Nothing,0,0,Shadow Blade
0,0,0,Nothing,0,0,Light Sword
12000,0,0,Nothing,0,0,Michael
0,0,0,Nothing,0,0,Michael (arm)
0,0,0,Nothing,0,0,Michael (core)
6000,0,0,Nothing,0,0,Dark Doel
6000,0,0,Nothing,0,0,Archangel
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Missing Shana
20000,400,0,Nothing,0,0,Zieg Feld
0,0,0,Nothing,0,0,Melbu Frahma (1st)
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Melbu Frahma (2nd)
0,0,0,Nothing,0,0,Melbu Frahma (3rd)
0,0,0,Nothing,0,0,Melbu Frahma (Bomb Star)
0,0,0,Nothing,0,0,Melbu Frahma (4th)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Bomb Star (Melbu Frahma 1st)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
