Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Name
lod_core:healing_fog,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:thunderbolt,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:tomahawk,lod_core:spear_of_terror,lod_core:diamond_claw,lod_core:breast_plate,lod_core:master's_vest,lod_core:soul_headband,lod_core:jeweled_crown,lod_core:stardust_boots,lod_core:armor_of_legend,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:mind_purifier,lod_core:body_purifier,lod_core:fatal_blizzard,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:war_hammer,lod_core:magical_ring,lod_core:spiritual_ring,lod_core:spirit_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:partisan,lod_core:heavy_mace,lod_core:energy_girdle,lod_core:rose's_hair_band,lod_core:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:black_rain,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:fairy_sword,lod_core:detonate_arrow,lod_core:thunder_fist,lod_core:silver_dg_armor,lod_core:dark_dg_armor,lod_core:magical_greaves,lod_core:magical_ring,lod_core:spiritual_ring,lod_core:elude_cloak,lod_core:spirit_cloak,lod_core:sage's_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:charm_potion,lod_core:panic_bell,lod_core:stunning_hammer,lod_core:poison_needle,lod_core:midnight_terror,lod_core:attack_ball,lod_core:recovery_ball,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:great_axe,lod_core:gladius,lod_core:red_dg_armor,lod_core:jade_dg_armor,lod_core:giganto_armor,lod_core:blue_dg_armor,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:claymore,lod_core:halberd,lod_core:basher,lod_core:destroyer_mace,lod_core:gold_dg_armor,lod_core:violet_dg_armor,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:mind_purifier,lod_core:body_purifier,lod_core:panic_bell,lod_core:poison_needle,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:angel's_prayer,lod_core:spark_net,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:mind_crush,lod_core:battle_axe,lod_core:virulent_arrow,lod_core:saint_armor,lod_core:robe,lod_core:guard_badge,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:gushing_magma,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:ruby_ring,lod_core:sapphire_pin,lod_core:emerald_earring,lod_core:platinum_collar,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:body_purifier,lod_core:burn_out,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:fake_power_wrist,lod_core:fake_shield,lod_core:_,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:dancing_ray,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:poison_guard,lod_core:active_ring,lod_core:protector,lod_core:panic_guard,lod_core:stun_guard,lod_core:bravery_amulet,lod_core:magic_ego_bell,lod_core:destone_amulet,lod_core:power_wrist,lod_core:knight_shield,lod_core:magical_ring,lod_core:spiritual_ring,lod_core:attack_badge,lod_core:guard_badge,lod_core:giganto_ring,Nothing,???
lod_core:healing_fog,lod_core:sun_rhapsody,lod_core:healing_breeze,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:mind_purifier,lod_core:body_purifier,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:midnight_terror,lod_core:thunderbolt,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
