EXP,Gold,Drop Rate,Item,UK1,UK2,Name
11,3,8,lod:angels_prayer,0,0,Mole
8,2,8,lod:healing_potion,0,0,Screaming Bat
130,14,2,lod:platinum_collar,0,0,Succubus
132,15,8,lod:stunning_hammer,0,0,Mammoth
135,14,2,lod:beast_fang,0,0,MetalFang
96,7,8,lod:rave_twister,0,0,Windy Weasel
96,20,8,lod:attack_ball,0,0,Wounded Bear
32,5,8,lod:mind_purifier,0,0,Erupting Chick
64,8,8,lod:angels_prayer,0,0,Flying Rat
3000,0,10,lod:rainbow_dress,0,0,Rainbow Bird
20,4,8,lod:detonate_rock,0,0,Living Statue
165,8,8,lod:body_purifier,0,0,Madman
120,12,2,lod:giganto_ring,0,0,Wildman
17,5,8,lod:dark_mist,0,0,Gargoyle
10,2,8,lod:spinning_gale,0,0,Crescent Bee
120,8,10,lod:healing_fog,0,0,Jelly
140,14,8,lod:attack_ball,0,0,Spiky Beetle
180,11,10,lod:mind_purifier,0,0,Slug
104,12,8,lod:angels_prayer,0,0,Witch
10,3,2,lod:poison_guard,0,0,Ugly Balloon
156,17,8,lod:flash_hall,0,0,Maximum Volt
22,9,2,lod:sapphire_pin,0,0,Crystal Golem
99,13,2,lod:guard_badge,0,0,Rocky Turtle
17,2,10,lod:pellet,0,0,Crocodile
36,7,8,lod:healing_potion,0,0,Frilled Lizard
72,8,2,lod:magical_hat,0,0,Magician Bogy
2000,40,8,lod:gravity_grabber,0,0,Triceratops
165,18,8,lod:frozen_jet,0,0,Stern Fish
88,10,8,lod:recovery_ball,0,0,Forest Runner
10,2,10,lod:healing_potion,0,0,Magma Fish
150,13,8,lod:body_purifier,0,0,Scud Shark
63,8,8,lod:healing_potion,0,0,Screw Shell
144,8,8,lod:healing_breeze,0,0,Potbelly
187,16,2,lod:soul_eater,0,0,Loner Knight
55,5,2,lod:energy_girdle,0,0,Berserker
176,18,2,lod:sages_cloak,0,0,Professor
638,28,8,lod:spectral_flash,0,0,Psyche Druid
60,4,2,lod:bandits_ring,0,0,Gangster
50,6,8,lod:pellet,0,0,Crafty Thief
153,13,8,lod:mind_purifier,0,0,Undead
60,7,2,lod:broad_sword,0,0,Skeleton
48,4,0,Nothing,0,0,Will-o'-Wisp
300,0,100,lod:night_raid,0,0,Cursed Jar
20,8,8,lod:angels_prayer,0,0,Man Eating Bud
126,12,15,lod:recovery_ball,0,0,Cactus
15,3,8,lod:sun_rhapsody,0,0,Mandrake
77,11,8,lod:spirit_potion,0,0,Mermaid
17,3,8,lod:sun_rhapsody,0,0,Salamander
380,17,2,lod:healing_rain,0,0,Unicorn
10,2,10,lod:dark_mist,0,0,Orc
80,12,8,lod:depetrifier,0,0,Dark Elf
100,9,8,lod:mind_purifier,0,0,Baby Dragon
192,16,8,lod:panic_bell,0,0,Harpy
162,17,2,lod:dancers_boots,0,0,Cute Cat
32,8,2,lod:bemusing_arrow,0,0,Arrow Shooter
14,2,8,lod:mind_purifier,0,0,Red Hot
170,10,8,lod:midnight_terror,0,0,Specter
30,10,8,lod:gushing_magma,0,0,Sandora Elite
24,5,20,lod:healing_potion,0,0,Knight of Sandora
11,2,10,lod:body_purifier,0,0,Slime
16,3,8,lod:mind_purifier,0,0,Fowl Fighter
36,4,8,lod:panic_bell,0,0,Killer Bird
14,2,8,lod:body_purifier,0,0,Plague Rat
38,4,8,lod:body_purifier,0,0,Stinger
40,7,2,lod:sachet,0,0,Piggy
56,5,8,lod:spear_frost,0,0,Sea Piranha
72,6,8,lod:body_purifier,0,0,Toad Stool
80,7,8,lod:gushing_magma,0,0,Mega Sea Dragon
90,13,8,lod:body_purifier,0,0,Deadly Spider
121,7,8,lod:spirit_potion,0,0,Icicle Ball
12,2,8,lod:mind_purifier,0,0,Tricky Bat
108,10,2,lod:bastard_sword,0,0,Mr.Bone
72,6,8,lod:healing_fog,0,0,Moss Dresser
144,8,8,lod:total_vanishing,0,0,Death Purger
154,7,8,lod:poison_needle,0,0,Scorpion
304,14,8,lod:frozen_jet,0,0,Trap Plant
135,10,8,lod:angels_prayer,0,0,Aqua King
128,10,8,lod:body_purifier,0,0,Sky Chaser
456,11,8,lod:down_burst,0,0,Air Combat
0,0,100,lod:ruby_ring,0,0,Treasure Jar
136,8,8,lod:recovery_ball,0,0,Human Hunter
198,14,10,lod:angels_prayer,0,0,Mountain Ape
360,14,8,lod:night_raid,0,0,Roulette Face
228,8,8,lod:burning_wave,0,0,Swift Dragon
20,5,2,lod:morning_star,0,0,Hellena Warden
25,10,50,lod:healing_potion,0,0,Sandora Soldier
14,3,8,lod:healing_potion,0,0,Sandora Soldier
11,4,10,lod:sun_rhapsody,0,0,Sandora Soldier
24,7,2,lod:spear,0,0,Senior Warden
6,3,0,Nothing,0,0,Hellena Warden
17,3,100,lod:attack_ball,0,0,Commander
1000,0,0,Nothing,0,0,Blue Bird
0,300,100,lod:phoenix_plume,0,0,Red Bird
0,100,10,lod:elude_cloak,0,0,Yellow Bird
1000,100,100,lod:moon_serenade,0,0,Lucky Jar
0,0,0,lod:broad_sword,0,0,??? (Terminator ?)
0,0,0,lod:broad_sword,0,0,???
0,0,0,lod:broad_sword,0,0,???
0,0,0,lod:broad_sword,0,0,Madman
165,8,8,lod:body_purifier,0,0,Madman
165,8,8,lod:body_purifier,0,0,Madman
14,2,8,lod:mind_purifier,0,0,Red Hot	
14,2,8,lod:mind_purifier,0,0,Red Hot
11,2,10,lod:body_purifier,0,0,Madman
11,2,10,lod:body_purifier,0,0,Madman
13,4,2,lod:spirit_cloak,0,0,Fire Spirit
13,4,2,lod:spirit_cloak,0,0,Fire Spirit
170,10,8,lod:midnight_terror,0,0,Specter
170,10,8,lod:midnight_terror,0,0,Specter
48,4,0,Nothing,0,0,Will-o'-Wisp
48,4,0,Nothing,0,0,Will-o'-Wisp
0,0,0,lod:broad_sword,0,0,Will-o'-Wisp (No name)
10,2,10,lod:healing_potion,0,0,Magma Fish
10,2,10,lod:healing_potion,0,0,Magma Fish
0,0,0,lod:broad_sword,0,0,Magma Fish (No name)
17,3,8,lod:sun_rhapsody,0,0,Salamander (No name)
17,3,8,lod:sun_rhapsody,0,0,Salamander (No name)
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,N/A
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,lod:broad_sword,0,0,Crash
0,0,0,Nothing,0,0,Merchant
0,0,0,Nothing,0,0,Master Tasman
0,0,0,Nothing,0,0,Rose
20,20,100,lod:burn_out,0,0,Commander
2,3,100,lod:healing_potion,0,0,Knight of Sandora
200,50,100,lod:healing_breeze,0,0,Sandora Elite
0,0,100,lod:healing_potion,0,0,Hellena Warden
0,0,100,lod:healing_potion,0,0,Auto Complete
300,50,100,lod:knight_shield,0,0,Fruegel
2000,200,100,lod:gravity_grabber,0,0,Fruegel
0,0,0,Nothing,0,0,Rodriguez
0,0,0,Nothing,0,0,Guftas
300,50,100,lod:power_wrist,0,0,Kongol
2000,200,30,lod:wargod_calling,0,0,Kongol
3000,200,0,Nothing,0,0,Emperor Doel
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Lloyd
12000,300,0,Nothing,0,0,Lloyd
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,8,lod:pellet,0,0,Crafty Thief
0,0,100,lod:down_burst,0,0,Feyrbrand
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
7000,250,100,lod:frozen_jet,0,0,Regole
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
10000,300,20,lod:dragon_shield,0,0,Divine Dragon
0,0,100,lod:gravity_grabber,0,0,Divine Cannon
0,0,100,lod:flash_hall,0,0,Divine Ball
0,0,0,Nothing,0,0,Crash
1200,100,30,lod:plate_mail,0,0,Greham
0,0,100,lod:silver_stone,0,0,Shirley
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Crash
0,0,0,Nothing,0,0,Crash
6000,200,0,Nothing,0,0,Lenus
0,0,50,lod:jeweled_crown,0,0,Lenus
6000,300,100,lod:blue_sea_stone,0,0,Damia
6000,300,100,lod:jade_stone,0,0,Syuveil
6000,300,100,lod:golden_stone,0,0,Belzac
6000,300,100,lod:violet_stone,0,0,Kanzas
2000,150,100,lod:total_vanishing,0,0,Mappi
0,0,25,lod:diamond_claw,0,0,Mappi
5000,200,25,lod:soul_headband,0,0,Gehrich
0,0,0,Nothing,0,0,Gorgaga
0,0,0,Nothing,0,0,Serfius
0,0,0,Nothing,0,0,Danton
0,0,0,Nothing,0,0,Atlow
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Crash
600,100,100,lod:healing_potion,0,0,Virage(head)
0,0,100,lod:healing_potion,0,0,Virage(body)
0,0,100,lod:mind_purifier,0,0,Virage(arm)
4500,200,100,lod:moon_serenade,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
4000,200,100,lod:healing_rain,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,Crash
15000,300,0,Nothing,0,0,S Virage(head)
0,0,0,Nothing,0,0,S Virage(arm)
0,0,0,Nothing,0,0,S Virage(body)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
1500,100,30,lod:bandits_ring,0,0,Drake the Bandit
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Freeze
2000,100,100,lod:sachet,0,0,Jiango
0,0,0,Nothing,0,0,???
0,0,0,Nothing,0,0,???
400,50,100,lod:wargods_amulet,0,0,Urobolus
800,100,100,lod:red-eye_stone,0,0,Fire Bird
0,0,0,Nothing,0,0,Auto Complete
9000,300,100,lod:spectral_flash,0,0,Grand Jewel
0,0,0,Nothing,0,0,Virage(head)
0,0,0,Nothing,0,0,Virage(body)
0,0,0,Nothing,0,0,Virage(arm)
0,0,0,Nothing,0,0,Kamuys tree
6000,200,100,lod:night_raid,0,0,Ghost Commander
0,0,0,Nothing,0,0,Ghost Knight
0,0,0,Nothing,0,0,Mazo
8000,0,100,lod:darkness_stone,0,0,Kamuy
20000,10000,100,lod:phantom_shield,0,0,Faust
0,0,0,Nothing,0,0,Faust
11000,250,100,lod:brass_knuckle,0,0,Windigo
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Heart
6000,200,0,Nothing,0,0,Polter Helm
0,0,100,lod:smoke_ball,0,0,Polter Armor
0,0,100,lod:soul_eater,0,0,Polter Sword
8000,400,100,lod:flash_hall,0,0,Auto Complete
6000,300,100,lod:frozen_jet,0,0,Auto Complete
4000,200,100,lod:down_burst,0,0,Auto Complete
0,0,0,Nothing,0,0,Missing (Melbu Texture)
0,0,0,Nothing,0,0,Missing (Tentacle Texture)
0,0,0,Nothing,0,0,Lloyd & Melbu (Crash)
0,0,0,Nothing,0,0,Freeze
0,0,0,Nothing,0,0,Freeze
12000,300,0,Nothing,0,0,Vector
0,0,0,Nothing,0,0,Selebus
0,0,0,Nothing,0,0,Kubila
0,0,100,lod:healing_rain,0,0,Auto Complete
12000,300,50,lod:halberd,0,0,Lavitzs Spirit
12000,300,100,lod:pretty_hammer,0,0,Last Kraken
0,0,0,Nothing,0,0,Auto Complete
0,0,0,Nothing,0,0,Auto Complete
13000,300,100,lod:healing_rain,0,0,Caterpillar
0,0,100,lod:moon_serenade,0,0,Auto Complete
0,0,100,lod:sun_rhapsody,0,0,Auto Complete
6000,0,0,Nothing,0,0,Death Rose
0,0,0,Nothing,0,0,Auto Complete
6000,0,0,Nothing,0,0,Claire
0,0,0,Nothing,0,0,Auto Complete
6000,0,100,lod:indoras_axe,0,0,Indora
0,0,0,Nothing,0,0,Shadow Blade
0,0,0,Nothing,0,0,Light Sword
12000,0,0,Nothing,0,0,Michael
0,0,0,Nothing,0,0,Michael (arm)
0,0,0,Nothing,0,0,Michael (core)
6000,0,0,Nothing,0,0,Dark Doel
6000,0,0,Nothing,0,0,Archangel
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Dragon Spirit
0,0,0,Nothing,0,0,Missing Shana
20000,400,0,Nothing,0,0,Zieg Feld
0,0,0,Nothing,0,0,Melbu Frahma (1st)
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Melbu Frahma (2nd)
0,0,0,Nothing,0,0,Melbu Frahma (3rd)
0,0,0,Nothing,0,0,Melbu Frahma (Bomb Star)
0,0,0,Nothing,0,0,Melbu Frahma (4th)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Bomb Star (Melbu Frahma 1st)
0,0,0,Nothing,0,0,Monster
0,0,0,Nothing,0,0,Tentacle
0,0,0,Nothing,0,0,Crash
